"Advanced Program Information"
4/3/2023

Year,Level,Division,"Enrollment Type",Count,Percent
"2021 - 2022",DIV,"Charlotte County Public Schools","Dual Enrollment enrollment",116,22.83
"2021 - 2022",DIV,"Charlotte County Public Schools","Governors School enrollment",14,2.76
"2021 - 2022",DIV,"Charlottesville City Public Schools","Advanced Placement Test Taken Preliminary Results",410,33.31
"2021 - 2022",DIV,"Charlottesville City Public Schools","Advanced Placement course enrollment",496,40.29
"2021 - 2022",DIV,"Charlottesville City Public Schools","Dual Enrollment enrollment",205,16.65
"2021 - 2022",DIV,"Chesapeake City Public Schools","Advanced Placement Test Taken Preliminary Results",1114,8.39
"2021 - 2022",DIV,"Chesapeake City Public Schools","Advanced Placement course enrollment",2060,15.51
"2021 - 2022",DIV,"Chesapeake City Public Schools","Dual Enrollment enrollment",609,4.58
"2021 - 2022",DIV,"Chesapeake City Public Schools","Governors School enrollment",90,.68
"2021 - 2022",DIV,"Chesapeake City Public Schools","IB Course enrollment",240,1.81
"2021 - 2022",DIV,"Chesapeake City Public Schools","IB Exam Taken",43,.32
"2021 - 2022",DIV,"Chesapeake City Public Schools","Seniors enrolled in IB Program",43,.32
"2021 - 2022",DIV,"Chesterfield County Public Schools","Advanced Placement Test Taken Preliminary Results",3214,15.93
"2021 - 2022",DIV,"Chesterfield County Public Schools","Advanced Placement course enrollment",4711,23.35
"2021 - 2022",DIV,"Chesterfield County Public Schools","Dual Enrollment enrollment",2320,11.5
"2021 - 2022",DIV,"Chesterfield County Public Schools","Governors School enrollment",362,1.79
"2021 - 2022",DIV,"Chesterfield County Public Schools","IB Course enrollment",211,1.05
"2021 - 2022",DIV,"Chesterfield County Public Schools","IB Exam Taken",58,.29
"2021 - 2022",DIV,"Clarke County Public Schools","Advanced Placement Test Taken Preliminary Results",52,7.65
"2021 - 2022",DIV,"Clarke County Public Schools","Advanced Placement course enrollment",120,17.65
"2021 - 2022",DIV,"Clarke County Public Schools","Dual Enrollment enrollment",141,20.74
"2021 - 2022",DIV,"Clarke County Public Schools","Governors School enrollment",6,.88
"2021 - 2022",DIV,"Clarke County Public Schools","IB Course enrollment",214,31.47
"2021 - 2022",DIV,"Clarke County Public Schools","IB Exam Taken",32,4.71
"2021 - 2022",DIV,"Clarke County Public Schools","Seniors enrolled in IB Program",10,1.47
"2021 - 2022",DIV,"Colonial Beach Public Schools","Dual Enrollment enrollment",8,4.35
"2021 - 2022",DIV,"Colonial Beach Public Schools","Governors School enrollment",6,3.26
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Advanced Placement Test Taken Preliminary Results",34,4.08
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Advanced Placement course enrollment",44,5.28
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Dual Enrollment enrollment",46,5.52
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Governors School enrollment",14,1.68
"2021 - 2022",DIV,"Craig County Public Schools","Advanced Placement Test Taken Preliminary Results",2,1.12
"2021 - 2022",DIV,"Craig County Public Schools","Advanced Placement course enrollment",2,1.12
"2021 - 2022",DIV,"Craig County Public Schools","Dual Enrollment enrollment",8,4.47
"2021 - 2022",DIV,"Craig County Public Schools","Governors School enrollment",2,1.12
"2021 - 2022",DIV,"Culpeper County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.07
"2021 - 2022",DIV,"Culpeper County Public Schools","Advanced Placement course enrollment",2,.07
"2021 - 2022",DIV,"Culpeper County Public Schools","Dual Enrollment enrollment",241,8.73
"2021 - 2022",DIV,"Culpeper County Public Schools","Governors School enrollment",31,1.12
"2021 - 2022",DIV,"Cumberland County Public Schools","Dual Enrollment enrollment",125,33.69
"2021 - 2022",DIV,"Cumberland County Public Schools","Governors School enrollment",19,5.12
"2021 - 2022",DIV,"Danville City Public Schools","Advanced Placement Test Taken Preliminary Results",38,2.34
"2021 - 2022",DIV,"Danville City Public Schools","Advanced Placement course enrollment",72,4.43
"2021 - 2022",DIV,"Danville City Public Schools","Dual Enrollment enrollment",129,7.93
"2021 - 2022",DIV,"Danville City Public Schools","Governors School enrollment",25,1.54
"2021 - 2022",DIV,"Danville City Public Schools","IB Course enrollment",14,.86
"2021 - 2022",DIV,"Danville City Public Schools","IB Exam Taken",2,.12
"2021 - 2022",DIV,"Danville City Public Schools","Seniors enrolled in IB Program",9,.55
"2021 - 2022",DIV,"Dickenson County Public Schools","Dual Enrollment enrollment",88,14.62
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Advanced Placement Test Taken Preliminary Results",20,1.54
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Advanced Placement course enrollment",69,5.32
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Dual Enrollment enrollment",48,3.7
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Governors School enrollment",15,1.16
"2021 - 2022",DIV,"Essex County Public Schools","Advanced Placement Test Taken Preliminary Results",12,3
"2021 - 2022",DIV,"Essex County Public Schools","Advanced Placement course enrollment",13,3.25
"2021 - 2022",DIV,"Essex County Public Schools","Dual Enrollment enrollment",51,12.75
"2021 - 2022",DIV,"Essex County Public Schools","Governors School enrollment",8,2
"2021 - 2022",DIV,"Fairfax County Public Schools","Advanced Placement Test Taken Preliminary Results",15474,26.22
"2021 - 2022",DIV,"Fairfax County Public Schools","Advanced Placement course enrollment",16281,27.59
"2021 - 2022",DIV,"Fairfax County Public Schools","Dual Enrollment enrollment",4102,6.95
"2021 - 2022",DIV,"Fairfax County Public Schools","Governors School enrollment",1915,3.24
"2021 - 2022",DIV,"Fairfax County Public Schools","IB Course enrollment",6349,10.76
"2021 - 2022",DIV,"Fairfax County Public Schools","IB Exam Taken",3402,5.76
"2021 - 2022",DIV,"Fairfax County Public Schools","Seniors enrolled in IB Program",538,.91
"2021 - 2022",DIV,"Falls Church City Public Schools","Advanced Placement Test Taken Preliminary Results",249,29.33
"2021 - 2022",DIV,"Falls Church City Public Schools","Advanced Placement course enrollment",249,29.33
"2021 - 2022",DIV,"Falls Church City Public Schools","Dual Enrollment enrollment",0,0
"2021 - 2022",DIV,"Falls Church City Public Schools","IB Course enrollment",278,32.74
"2021 - 2022",DIV,"Falls Church City Public Schools","IB Exam Taken",262,30.86
"2021 - 2022",DIV,"Falls Church City Public Schools","Seniors enrolled in IB Program",65,7.66
"2021 - 2022",DIV,"Fauquier County Public Schools","Advanced Placement Test Taken Preliminary Results",991,26.5
"2021 - 2022",DIV,"Fauquier County Public Schools","Advanced Placement course enrollment",1024,27.39
"2021 - 2022",DIV,"Fauquier County Public Schools","Dual Enrollment enrollment",989,26.45
"2021 - 2022",DIV,"Fauquier County Public Schools","Governors School enrollment",67,1.79
"2021 - 2022",DIV,"Floyd County Public Schools","Advanced Placement Test Taken Preliminary Results",20,3.29
"2021 - 2022",DIV,"Floyd County Public Schools","Advanced Placement course enrollment",29,4.78
"2021 - 2022",DIV,"Floyd County Public Schools","Dual Enrollment enrollment",142,23.39
"2021 - 2022",DIV,"Fluvanna County Public Schools","Advanced Placement Test Taken Preliminary Results",174,14.86
"2021 - 2022",DIV,"Fluvanna County Public Schools","Advanced Placement course enrollment",181,15.46
"2021 - 2022",DIV,"Fluvanna County Public Schools","Dual Enrollment enrollment",166,14.18
"2021 - 2022",DIV,"Fluvanna County Public Schools","Governors School enrollment",129,11.02
"2021 - 2022",DIV,"Franklin City Public Schools","Dual Enrollment enrollment",45,15.15
"2021 - 2022",DIV,"Franklin City Public Schools","Governors School enrollment",5,1.68
"2021 - 2022",DIV,"Franklin County Public Schools","Dual Enrollment enrollment",234,12.16
"2021 - 2022",DIV,"Franklin County Public Schools","Governors School enrollment",29,1.51
"2021 - 2022",DIV,"Frederick County Public Schools","Advanced Placement Test Taken Preliminary Results",254,5.57
"2021 - 2022",DIV,"Frederick County Public Schools","Advanced Placement course enrollment",1029,22.56
"2021 - 2022",DIV,"Frederick County Public Schools","Dual Enrollment enrollment",758,16.62
"2021 - 2022",DIV,"Frederick County Public Schools","Governors School enrollment",54,1.18
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Advanced Placement Test Taken Preliminary Results",94,9.15
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Advanced Placement course enrollment",155,15.09
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Dual Enrollment enrollment",39,3.8
"2021 - 2022",DIV,"Galax City Public Schools","Advanced Placement Test Taken Preliminary Results",4,1.07
"2021 - 2022",DIV,"Galax City Public Schools","Advanced Placement course enrollment",4,1.07
"2021 - 2022",DIV,"Galax City Public Schools","Dual Enrollment enrollment",77,20.59
"2021 - 2022",DIV,"Galax City Public Schools","Governors School enrollment",4,1.07
"2021 - 2022",DIV,"Giles County Public Schools","Dual Enrollment enrollment",207,27.71
"2021 - 2022",DIV,"Giles County Public Schools","Governors School enrollment",16,2.14
"2021 - 2022",DIV,"Gloucester County Public Schools","Advanced Placement Test Taken Preliminary Results",54,3.5
"2021 - 2022",DIV,"Gloucester County Public Schools","Advanced Placement course enrollment",80,5.19
"2021 - 2022",DIV,"Gloucester County Public Schools","Dual Enrollment enrollment",198,12.84
"2021 - 2022",DIV,"Gloucester County Public Schools","Governors School enrollment",19,1.23
"2021 - 2022",DIV,"Goochland County Public Schools","Advanced Placement Test Taken Preliminary Results",169,19.56
"2021 - 2022",DIV,"Goochland County Public Schools","Advanced Placement course enrollment",338,39.12
"2021 - 2022",DIV,"Goochland County Public Schools","Dual Enrollment enrollment",186,21.53
"2021 - 2022",DIV,"Goochland County Public Schools","Governors School enrollment",26,3.01
"2021 - 2022",DIV,"Grayson County Public Schools","Dual Enrollment enrollment",118,26.05
"2021 - 2022",DIV,"Greene County Public Schools","Advanced Placement Test Taken Preliminary Results",20,2.09
"2021 - 2022",DIV,"Greene County Public Schools","Advanced Placement course enrollment",23,2.41
"2021 - 2022",DIV,"Greene County Public Schools","Dual Enrollment enrollment",170,17.8
"2021 - 2022",DIV,"Greensville County Public Schools","Dual Enrollment enrollment",169,29.09
"2021 - 2022",DIV,"Greensville County Public Schools","Governors School enrollment",16,2.75
"2021 - 2022",DIV,"Halifax County Public Schools","Advanced Placement course enrollment",207,14.53
"2021 - 2022",DIV,"Halifax County Public Schools","Dual Enrollment enrollment",383,26.88
"2021 - 2022",DIV,"Hampton City Public Schools","Advanced Placement Test Taken Preliminary Results",235,3.9
"2021 - 2022",DIV,"Hampton City Public Schools","Advanced Placement course enrollment",920,15.27
"2021 - 2022",DIV,"Hampton City Public Schools","Dual Enrollment enrollment",367,6.09
"2021 - 2022",DIV,"Hampton City Public Schools","Governors School enrollment",10,.17
"2021 - 2022",DIV,"Hampton City Public Schools","IB Course enrollment",108,1.79
"2021 - 2022",DIV,"Hampton City Public Schools","IB Exam Taken",49,.81
"2021 - 2022",DIV,"Hanover County Public Schools","Advanced Placement Test Taken Preliminary Results",1060,18.62
"2021 - 2022",DIV,"Hanover County Public Schools","Advanced Placement course enrollment",1269,22.29
"2021 - 2022",DIV,"Hanover County Public Schools","Dual Enrollment enrollment",361,6.34
"2021 - 2022",DIV,"Hanover County Public Schools","Governors School enrollment",52,.91
"2021 - 2022",DIV,"Hanover County Public Schools","IB Course enrollment",506,8.89
"2021 - 2022",DIV,"Hanover County Public Schools","IB Exam Taken",330,5.8
"2021 - 2022",DIV,"Hanover County Public Schools","Seniors enrolled in IB Program",53,.93
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Advanced Placement Test Taken Preliminary Results",79,4.11
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Advanced Placement course enrollment",86,4.47
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Dual Enrollment enrollment",156,8.11
"2021 - 2022",DIV,"Henrico County Public Schools","Advanced Placement Test Taken Preliminary Results",3152,19.46
"2021 - 2022",DIV,"Henrico County Public Schools","Advanced Placement course enrollment",5013,30.95
"2021 - 2022",DIV,"Henrico County Public Schools","Dual Enrollment enrollment",604,3.73
"2021 - 2022",DIV,"Henrico County Public Schools","Governors School enrollment",183,1.13
"2021 - 2022",DIV,"Henrico County Public Schools","IB Course enrollment",444,2.74
"2021 - 2022",DIV,"Henrico County Public Schools","IB Exam Taken",146,.9
"2021 - 2022",DIV,"Henrico County Public Schools","Seniors enrolled in IB Program",107,.66
"2021 - 2022",DIV,"Henry County Public Schools","Advanced Placement Test Taken Preliminary Results",324,14.88
"2021 - 2022",DIV,"Henry County Public Schools","Advanced Placement course enrollment",363,16.67
"2021 - 2022",DIV,"Henry County Public Schools","Dual Enrollment enrollment",291,13.36
"2021 - 2022",DIV,"Henry County Public Schools","Governors School enrollment",54,2.48
"2021 - 2022",DIV,"Highland County Public Schools","Advanced Placement Test Taken Preliminary Results",10,18.87
"2021 - 2022",DIV,"Highland County Public Schools","Advanced Placement course enrollment",13,24.53
"2021 - 2022",DIV,"Highland County Public Schools","Dual Enrollment enrollment",9,16.98
"2021 - 2022",DIV,"Hopewell City Public Schools","Advanced Placement Test Taken Preliminary Results",8,.69
"2021 - 2022",DIV,"Hopewell City Public Schools","Advanced Placement course enrollment",9,.77
"2021 - 2022",DIV,"Hopewell City Public Schools","Dual Enrollment enrollment",116,9.94
"2021 - 2022",DIV,"Hopewell City Public Schools","Governors School enrollment",24,2.06
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Advanced Placement Test Taken Preliminary Results",143,7.57
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Advanced Placement course enrollment",150,7.94
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Dual Enrollment enrollment",309,16.37
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Governors School enrollment",43,2.28
"2021 - 2022",DIV,"King George County Public Schools","Advanced Placement Test Taken Preliminary Results",131,9.01
"2021 - 2022",DIV,"King George County Public Schools","Advanced Placement course enrollment",263,18.09
"2021 - 2022",DIV,"King George County Public Schools","Dual Enrollment enrollment",149,10.25
"2021 - 2022",DIV,"King George County Public Schools","Governors School enrollment",101,6.95
"2021 - 2022",DIV,"King William County Public Schools","Advanced Placement Test Taken Preliminary Results",33,4.85
"2021 - 2022",DIV,"King William County Public Schools","Advanced Placement course enrollment",39,5.74
"2021 - 2022",DIV,"King William County Public Schools","Dual Enrollment enrollment",84,12.35
