"Advanced Program Information"
4/3/2023

Year,Level,Division,"Enrollment Type",Count,Percent
"2021 - 2022",DIV,"Orange County Public Schools","Advanced Placement course enrollment",206,13.54
"2021 - 2022",DIV,"Orange County Public Schools","Dual Enrollment enrollment",119,7.82
"2021 - 2022",DIV,"Orange County Public Schools","Governors School enrollment",121,7.96
"2021 - 2022",DIV,"Page County Public Schools","Dual Enrollment enrollment",187,17.73
"2021 - 2022",DIV,"Page County Public Schools","Governors School enrollment",6,.57
"2021 - 2022",DIV,"Patrick County Public Schools","Advanced Placement Test Taken Preliminary Results",11,1.6
"2021 - 2022",DIV,"Patrick County Public Schools","Advanced Placement course enrollment",12,1.74
"2021 - 2022",DIV,"Patrick County Public Schools","Dual Enrollment enrollment",95,13.79
"2021 - 2022",DIV,"Petersburg City Public Schools","Advanced Placement course enrollment",21,2.04
"2021 - 2022",DIV,"Petersburg City Public Schools","Dual Enrollment enrollment",7,.68
"2021 - 2022",DIV,"Petersburg City Public Schools","Governors School enrollment",73,7.11
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",47,1.79
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Advanced Placement course enrollment",188,7.14
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Dual Enrollment enrollment",714,27.12
"2021 - 2022",DIV,"Pittsylvania County Public Schools","Governors School enrollment",51,1.94
"2021 - 2022",DIV,"Poquoson City Public Schools","Advanced Placement Test Taken Preliminary Results",87,12.46
"2021 - 2022",DIV,"Poquoson City Public Schools","Advanced Placement course enrollment",127,18.19
"2021 - 2022",DIV,"Poquoson City Public Schools","Dual Enrollment enrollment",101,14.47
"2021 - 2022",DIV,"Poquoson City Public Schools","Governors School enrollment",15,2.15
"2021 - 2022",DIV,"Portsmouth City Public Schools","Advanced Placement course enrollment",113,3
"2021 - 2022",DIV,"Portsmouth City Public Schools","Dual Enrollment enrollment",185,4.91
"2021 - 2022",DIV,"Portsmouth City Public Schools","Governors School enrollment",16,.42
"2021 - 2022",DIV,"Powhatan County Public Schools","Advanced Placement Test Taken Preliminary Results",280,19.39
"2021 - 2022",DIV,"Powhatan County Public Schools","Advanced Placement course enrollment",292,20.22
"2021 - 2022",DIV,"Powhatan County Public Schools","Dual Enrollment enrollment",82,5.68
"2021 - 2022",DIV,"Powhatan County Public Schools","Governors School enrollment",18,1.25
"2021 - 2022",DIV,"Prince Edward County Public Schools","Advanced Placement Test Taken Preliminary Results",20,3.45
"2021 - 2022",DIV,"Prince Edward County Public Schools","Advanced Placement course enrollment",31,5.34
"2021 - 2022",DIV,"Prince Edward County Public Schools","Dual Enrollment enrollment",116,20
"2021 - 2022",DIV,"Prince Edward County Public Schools","Governors School enrollment",11,1.9
"2021 - 2022",DIV,"Prince George County Public Schools","Advanced Placement Test Taken Preliminary Results",104,5.83
"2021 - 2022",DIV,"Prince George County Public Schools","Advanced Placement course enrollment",139,7.79
"2021 - 2022",DIV,"Prince George County Public Schools","Dual Enrollment enrollment",103,5.77
"2021 - 2022",DIV,"Prince George County Public Schools","Governors School enrollment",22,1.23
"2021 - 2022",DIV,"Prince William County Public Schools","Advanced Placement Test Taken Preliminary Results",5349,18.36
"2021 - 2022",DIV,"Prince William County Public Schools","Advanced Placement course enrollment",5956,20.44
"2021 - 2022",DIV,"Prince William County Public Schools","Dual Enrollment enrollment",2238,7.68
"2021 - 2022",DIV,"Prince William County Public Schools","Governors School enrollment",109,.37
"2021 - 2022",DIV,"Prince William County Public Schools","IB Course enrollment",659,2.26
"2021 - 2022",DIV,"Prince William County Public Schools","IB Exam Taken",356,1.22
"2021 - 2022",DIV,"Prince William County Public Schools","Seniors enrolled in IB Program",41,.14
"2021 - 2022",DIV,"Pulaski County Public Schools","Advanced Placement Test Taken Preliminary Results",52,4.24
"2021 - 2022",DIV,"Pulaski County Public Schools","Advanced Placement course enrollment",116,9.45
"2021 - 2022",DIV,"Pulaski County Public Schools","Dual Enrollment enrollment",256,20.86
"2021 - 2022",DIV,"Pulaski County Public Schools","Governors School enrollment",10,.81
"2021 - 2022",DIV,"Radford City Public Schools","Dual Enrollment enrollment",94,11.34
"2021 - 2022",DIV,"Radford City Public Schools","Governors School enrollment",6,.72
"2021 - 2022",DIV,"Rappahannock County Public Schools","Advanced Placement Test Taken Preliminary Results",5,2.14
"2021 - 2022",DIV,"Rappahannock County Public Schools","Advanced Placement course enrollment",6,2.56
"2021 - 2022",DIV,"Rappahannock County Public Schools","Dual Enrollment enrollment",57,24.36
"2021 - 2022",DIV,"Rappahannock County Public Schools","Governors School enrollment",5,2.14
"2021 - 2022",DIV,"Richmond City Public Schools","Advanced Placement Test Taken Preliminary Results",596,10.73
"2021 - 2022",DIV,"Richmond City Public Schools","Advanced Placement course enrollment",691,12.44
"2021 - 2022",DIV,"Richmond City Public Schools","Dual Enrollment enrollment",100,1.8
"2021 - 2022",DIV,"Richmond City Public Schools","Governors School enrollment",285,5.13
"2021 - 2022",DIV,"Richmond City Public Schools","IB Course enrollment",52,.94
"2021 - 2022",DIV,"Richmond City Public Schools","IB Exam Taken",34,.61
"2021 - 2022",DIV,"Richmond City Public Schools","Seniors enrolled in IB Program",52,.94
"2021 - 2022",DIV,"Richmond County Public Schools","Advanced Placement Test Taken Preliminary Results",13,3.09
"2021 - 2022",DIV,"Richmond County Public Schools","Advanced Placement course enrollment",13,3.09
"2021 - 2022",DIV,"Richmond County Public Schools","Dual Enrollment enrollment",157,37.29
"2021 - 2022",DIV,"Richmond County Public Schools","Governors School enrollment",22,5.23
"2021 - 2022",DIV,"Roanoke City Public Schools","Advanced Placement Test Taken Preliminary Results",390,10.09
"2021 - 2022",DIV,"Roanoke City Public Schools","Advanced Placement course enrollment",658,17.02
"2021 - 2022",DIV,"Roanoke City Public Schools","Dual Enrollment enrollment",350,9.05
"2021 - 2022",DIV,"Roanoke City Public Schools","Governors School enrollment",126,3.26
"2021 - 2022",DIV,"Roanoke County Public Schools","Advanced Placement Test Taken Preliminary Results",536,11.94
"2021 - 2022",DIV,"Roanoke County Public Schools","Advanced Placement course enrollment",1135,25.29
"2021 - 2022",DIV,"Roanoke County Public Schools","Dual Enrollment enrollment",770,17.16
"2021 - 2022",DIV,"Roanoke County Public Schools","Governors School enrollment",53,1.18
"2021 - 2022",DIV,"Rockbridge County Public Schools","Advanced Placement Test Taken Preliminary Results",103,9.91
"2021 - 2022",DIV,"Rockbridge County Public Schools","Advanced Placement course enrollment",104,10.01
"2021 - 2022",DIV,"Rockbridge County Public Schools","Dual Enrollment enrollment",180,17.32
"2021 - 2022",DIV,"Rockingham County Public Schools","Advanced Placement Test Taken Preliminary Results",201,5.48
"2021 - 2022",DIV,"Rockingham County Public Schools","Advanced Placement course enrollment",365,9.95
"2021 - 2022",DIV,"Rockingham County Public Schools","Dual Enrollment enrollment",131,3.57
"2021 - 2022",DIV,"Rockingham County Public Schools","Governors School enrollment",32,.87
"2021 - 2022",DIV,"Russell County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.09
"2021 - 2022",DIV,"Russell County Public Schools","Advanced Placement course enrollment",1,.09
"2021 - 2022",DIV,"Russell County Public Schools","Dual Enrollment enrollment",223,20.84
"2021 - 2022",DIV,"Salem City Public Schools","Advanced Placement Test Taken Preliminary Results",157,12.57
"2021 - 2022",DIV,"Salem City Public Schools","Advanced Placement course enrollment",157,12.57
"2021 - 2022",DIV,"Salem City Public Schools","Dual Enrollment enrollment",399,31.95
"2021 - 2022",DIV,"Salem City Public Schools","IB Course enrollment",155,12.41
"2021 - 2022",DIV,"Salem City Public Schools","IB Exam Taken",24,1.92
"2021 - 2022",DIV,"Salem City Public Schools","Seniors enrolled in IB Program",2,.16
"2021 - 2022",DIV,"Scott County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.1
"2021 - 2022",DIV,"Scott County Public Schools","Advanced Placement course enrollment",1,.1
"2021 - 2022",DIV,"Scott County Public Schools","Dual Enrollment enrollment",227,22.04
"2021 - 2022",DIV,"Shenandoah County Public Schools","Advanced Placement Test Taken Preliminary Results",3,.17
"2021 - 2022",DIV,"Shenandoah County Public Schools","Advanced Placement course enrollment",137,7.63
"2021 - 2022",DIV,"Shenandoah County Public Schools","Dual Enrollment enrollment",296,16.49
"2021 - 2022",DIV,"Shenandoah County Public Schools","Governors School enrollment",28,1.56
"2021 - 2022",DIV,"Smyth County Public Schools","Advanced Placement Test Taken Preliminary Results",50,3.83
"2021 - 2022",DIV,"Smyth County Public Schools","Advanced Placement course enrollment",93,7.12
"2021 - 2022",DIV,"Smyth County Public Schools","Dual Enrollment enrollment",324,24.79
"2021 - 2022",DIV,"Smyth County Public Schools","Governors School enrollment",6,.46
"2021 - 2022",DIV,"Southampton County Public Schools","Advanced Placement Test Taken Preliminary Results",50,6.68
"2021 - 2022",DIV,"Southampton County Public Schools","Advanced Placement course enrollment",50,6.68
"2021 - 2022",DIV,"Southampton County Public Schools","Dual Enrollment enrollment",137,18.29
"2021 - 2022",DIV,"Southampton County Public Schools","Governors School enrollment",15,2
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",1627,20.66
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Advanced Placement course enrollment",2204,27.99
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Dual Enrollment enrollment",549,6.97
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Governors School enrollment",215,2.73
"2021 - 2022",DIV,"Spotsylvania County Public Schools","IB Course enrollment",65,.83
"2021 - 2022",DIV,"Spotsylvania County Public Schools","IB Exam Taken",28,.36
"2021 - 2022",DIV,"Spotsylvania County Public Schools","Seniors enrolled in IB Program",14,.18
"2021 - 2022",DIV,"Stafford County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.01
"2021 - 2022",DIV,"Stafford County Public Schools","Advanced Placement course enrollment",1991,19.67
"2021 - 2022",DIV,"Stafford County Public Schools","Dual Enrollment enrollment",708,7
"2021 - 2022",DIV,"Stafford County Public Schools","Governors School enrollment",276,2.73
"2021 - 2022",DIV,"Stafford County Public Schools","IB Course enrollment",446,4.41
"2021 - 2022",DIV,"Stafford County Public Schools","IB Exam Taken",310,3.06
"2021 - 2022",DIV,"Stafford County Public Schools","Seniors enrolled in IB Program",35,.35
"2021 - 2022",DIV,"Staunton City Public Schools","Advanced Placement Test Taken Preliminary Results",66,7.86
"2021 - 2022",DIV,"Staunton City Public Schools","Advanced Placement course enrollment",69,8.21
"2021 - 2022",DIV,"Staunton City Public Schools","Dual Enrollment enrollment",78,9.29
"2021 - 2022",DIV,"Suffolk City Public Schools","Advanced Placement Test Taken Preliminary Results",54,1.22
"2021 - 2022",DIV,"Suffolk City Public Schools","Advanced Placement course enrollment",103,2.33
"2021 - 2022",DIV,"Suffolk City Public Schools","Dual Enrollment enrollment",165,3.73
"2021 - 2022",DIV,"Suffolk City Public Schools","Governors School enrollment",24,.54
"2021 - 2022",DIV,"Suffolk City Public Schools","IB Course enrollment",50,1.13
"2021 - 2022",DIV,"Suffolk City Public Schools","Seniors enrolled in IB Program",23,.52
"2021 - 2022",DIV,"Surry County Public Schools","Advanced Placement course enrollment",1,.44
"2021 - 2022",DIV,"Surry County Public Schools","Dual Enrollment enrollment",22,9.65
"2021 - 2022",DIV,"Surry County Public Schools","Governors School enrollment",6,2.63
"2021 - 2022",DIV,"Sussex County Public Schools","Dual Enrollment enrollment",11,3.53
"2021 - 2022",DIV,"Sussex County Public Schools","Governors School enrollment",10,3.21
"2021 - 2022",DIV,"Tazewell County Public Schools","Advanced Placement Test Taken Preliminary Results",29,1.7
"2021 - 2022",DIV,"Tazewell County Public Schools","Advanced Placement course enrollment",154,9.02
"2021 - 2022",DIV,"Tazewell County Public Schools","Dual Enrollment enrollment",244,14.29
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Advanced Placement Test Taken Preliminary Results",3887,18.89
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Advanced Placement course enrollment",5983,29.08
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Dual Enrollment enrollment",1053,5.12
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Governors School enrollment",118,.57
"2021 - 2022",DIV,"Virginia Beach City Public Schools","IB Course enrollment",840,4.08
"2021 - 2022",DIV,"Virginia Beach City Public Schools","IB Exam Taken",280,1.36
"2021 - 2022",DIV,"Virginia Beach City Public Schools","Seniors enrolled in IB Program",180,.87
"2021 - 2022",DIV,"Warren County Public Schools","Advanced Placement Test Taken Preliminary Results",44,2.54
"2021 - 2022",DIV,"Warren County Public Schools","Advanced Placement course enrollment",74,4.27
"2021 - 2022",DIV,"Warren County Public Schools","Dual Enrollment enrollment",397,22.93
"2021 - 2022",DIV,"Warren County Public Schools","Governors School enrollment",19,1.1
"2021 - 2022",DIV,"Washington County Public Schools","Advanced Placement Test Taken Preliminary Results",149,6.82
"2021 - 2022",DIV,"Washington County Public Schools","Advanced Placement course enrollment",182,8.33
"2021 - 2022",DIV,"Washington County Public Schools","Dual Enrollment enrollment",409,18.73
"2021 - 2022",DIV,"Washington County Public Schools","Governors School enrollment",33,1.51
"2021 - 2022",DIV,"Waynesboro City Public Schools","Advanced Placement Test Taken Preliminary Results",58,6.49
"2021 - 2022",DIV,"Waynesboro City Public Schools","Advanced Placement course enrollment",111,12.42
"2021 - 2022",DIV,"Waynesboro City Public Schools","Dual Enrollment enrollment",49,5.48
"2021 - 2022",DIV,"Waynesboro City Public Schools","Governors School enrollment",37,4.14
"2021 - 2022",DIV,"West Point Public Schools","Advanced Placement Test Taken Preliminary Results",2,.73
"2021 - 2022",DIV,"West Point Public Schools","Advanced Placement course enrollment",34,12.36
"2021 - 2022",DIV,"West Point Public Schools","Dual Enrollment enrollment",111,40.36
"2021 - 2022",DIV,"Westmoreland County Public Schools","Advanced Placement Test Taken Preliminary Results",14,2.89
"2021 - 2022",DIV,"Westmoreland County Public Schools","Advanced Placement course enrollment",16,3.3
"2021 - 2022",DIV,"Westmoreland County Public Schools","Dual Enrollment enrollment",36,7.42
"2021 - 2022",DIV,"Westmoreland County Public Schools","Governors School enrollment",16,3.3
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Advanced Placement Test Taken Preliminary Results",623,16.8
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Advanced Placement course enrollment",1341,36.17
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Dual Enrollment enrollment",174,4.69
"2021 - 2022",DIV,"Williamsburg-James City County Public Schools","Governors School enrollment",29,.78
"2021 - 2022",DIV,"Winchester City Public Schools","Advanced Placement Test Taken Preliminary Results",248,18.47
"2021 - 2022",DIV,"Winchester City Public Schools","Advanced Placement course enrollment",306,22.78
"2021 - 2022",DIV,"Winchester City Public Schools","Dual Enrollment enrollment",201,14.97
"2021 - 2022",DIV,"Wise County Public Schools","Advanced Placement Test Taken Preliminary Results",13,.79
"2021 - 2022",DIV,"Wise County Public Schools","Advanced Placement course enrollment",23,1.4
"2021 - 2022",DIV,"Wise County Public Schools","Dual Enrollment enrollment",302,18.41
"2021 - 2022",DIV,"Wise County Public Schools","Governors School enrollment",109,6.65
"2021 - 2022",DIV,"Wythe County Public Schools","Dual Enrollment enrollment",255,20.78
"2021 - 2022",DIV,"Wythe County Public Schools","Governors School enrollment",35,2.85
"2021 - 2022",DIV,"York County Public Schools","Advanced Placement Test Taken Preliminary Results",1120,27.5
"2021 - 2022",DIV,"York County Public Schools","Advanced Placement course enrollment",1567,38.47
"2021 - 2022",DIV,"York County Public Schools","Dual Enrollment enrollment",93,2.28
"2021 - 2022",DIV,"York County Public Schools","Governors School enrollment",73,1.79
"2021 - 2022",DIV,"York County Public Schools","IB Course enrollment",32,.79
"2021 - 2022",DIV,"York County Public Schools","IB Exam Taken",27,.66
"2021 - 2022",DIV,"York County Public Schools","Seniors enrolled in IB Program",15,.37
