"Percentage of Expenditures"
4/3/2023

Year,Division,Level,Percent
"2020 - 2021","Smyth County Public Schools",DIV,68.9
"2020 - 2021","Southampton County Public Schools",DIV,63.3
"2020 - 2021","Spotsylvania County Public Schools",DIV,65.8
"2020 - 2021","Stafford County Public Schools",DIV,70
"2020 - 2021","Staunton City Public Schools",DIV,67.6
"2020 - 2021","Suffolk City Public Schools",DIV,67.5
"2020 - 2021","Surry County Public Schools",DIV,56.7
"2020 - 2021","Sussex County Public Schools",DIV,56.1
"2020 - 2021","Tazewell County Public Schools",DIV,65.4
"2020 - 2021","Virginia Beach City Public Schools",DIV,68.1
"2020 - 2021","Warren County Public Schools",DIV,68.3
"2020 - 2021","Washington County Public Schools",DIV,67.5
"2020 - 2021","Waynesboro City Public Schools",DIV,68.6
"2020 - 2021","West Point Public Schools",DIV,62.8
"2020 - 2021","Westmoreland County Public Schools",DIV,63.4
"2020 - 2021","Williamsburg-James City County Public Schools",DIV,64.5
"2020 - 2021","Winchester City Public Schools",DIV,64.5
"2020 - 2021","Wise County Public Schools",DIV,71.4
"2020 - 2021","Wythe County Public Schools",DIV,66.3
"2020 - 2021","York County Public Schools",DIV,65.7
