"Sources of Financial Support"
4/3/2023

Year,Division,Level,"End of Year ADM","Local Amount","State Amount","Federal Amount",Total,"Local Percent","State Percent","Federal Percent"
"2020 - 2021","Tazewell County Public Schools",DIV,"5,418.51","2,031","7,503","1,606","11,140",18.2,67.4,14.4
"2020 - 2021","Virginia Beach City Public Schools",DIV,"64,951.48","5,783","6,128","1,343","13,254",43.6,46.2,10.1
"2020 - 2021","Warren County Public Schools",DIV,"5,135.43","4,672","6,226","1,658","12,556",37.2,49.6,13.2
"2020 - 2021","Washington County Public Schools",DIV,"6,709.43","3,970","6,914","1,325","12,209",32.5,56.6,10.9
"2020 - 2021","Waynesboro City Public Schools",DIV,"2,953.12","4,119","7,312","2,347","13,778",29.9,53.1,17
"2020 - 2021","West Point Public Schools",DIV,805.32,"5,200","7,516","1,097","13,813",37.6,54.4,7.9
"2020 - 2021","Westmoreland County Public Schools",DIV,"1,523.21","7,060","6,833","2,191","16,084",43.9,42.5,13.6
"2020 - 2021","Williamsburg-James City County Public Schools",DIV,"10,922.57","7,730","5,055",956,"13,741",56.3,36.8,7
"2020 - 2021","Winchester City Public Schools",DIV,"4,209.36","6,771","7,115","1,343","15,229",44.5,46.7,8.8
"2020 - 2021","Wise County Public Schools",DIV,"5,503.15","2,025","7,826","1,778","11,629",17.4,67.3,15.3
"2020 - 2021","Wythe County Public Schools",DIV,"3,823.05","3,258","7,252","1,424","11,934",27.3,60.8,11.9
"2020 - 2021","York County Public Schools",DIV,"12,390.75","4,380","6,321","1,715","12,416",35.3,50.9,13.8
