"Dropout Rate"
4/3/2023

Year,Division,Indicator,Description,Dropouts,"Students in the Cohort","Cohort Dropout Rate"
2022,"Williamsburg-James City County Public Schools","Jamestown High","Dropout Rate","Class of 2022",8,324,2.47
2022,"Williamsburg-James City County Public Schools","Lafayette High","Dropout Rate","Class of 2022",10,301,3.32
2022,"Williamsburg-James City County Public Schools","Warhill High","Dropout Rate","Class of 2022",6,352,1.7
2022,"Winchester City Public Schools","John Handley High","Dropout Rate","Class of 2022",38,326,11.66
2022,"Wise County Public Schools","Central High","Dropout Rate","Class of 2022",3,144,2.08
2022,"Wise County Public Schools","Eastside High","Dropout Rate","Class of 2022",6,102,5.88
2022,"Wise County Public Schools","Union High","Dropout Rate","Class of 2022",5,144,3.47
2022,"Wythe County Public Schools","Fort Chiswell High","Dropout Rate","Class of 2022",6,117,5.13
2022,"Wythe County Public Schools","George Wythe High","Dropout Rate","Class of 2022",9,98,9.18
2022,"Wythe County Public Schools","Rural Retreat High","Dropout Rate","Class of 2022",4,82,4.88
2022,"York County Public Schools","Bruton High","Dropout Rate","Class of 2022",2,151,1.32
2022,"York County Public Schools","Grafton High","Dropout Rate","Class of 2022",6,288,2.08
2022,"York County Public Schools","Tabb High","Dropout Rate","Class of 2022",3,233,1.29
2022,"York County Public Schools","York High","Dropout Rate","Class of 2022",0,284,0
2022,"York County Public Schools","York River Academy","Dropout Rate","Class of 2022",0,18,0
