"Per Pupil Spending"
4/3/2023

Year,"Level Code",Division,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2020 - 2021",DIV,"Gloucester County Public Schools",5017.33,400,7418,7819,348,3902,4250,12068,4421353,60551177,748,11320
"2020 - 2021",DIV,"Goochland County Public Schools",2562.48,497,8600,9097,477,3343,3820,12917,2376740,33099676,974,11943
"2020 - 2021",DIV,"Grayson County Public Schools",1506.96,1383,7698,9081,867,4018,4885,13966,3100064,21045793,2250,11716
"2020 - 2021",DIV,"Greene County Public Schools",2940.88,450,7551,8002,209,3043,3252,11253,5360388,33094475,659,10594
"2020 - 2021",DIV,"Greensville County Public Schools",2110.93,2397,9075,11471,0,2774,2774,14246,2063332,30071308,2397,11849
"2020 - 2021",DIV,"Halifax County Public Schools",4633.55,716,7318,8034,442,3299,3741,11775,5286205,54558070,1158,10617
"2020 - 2021",DIV,"Hampton City Public Schools",19232.06,661,7518,8179,210,2962,3172,11351,35824852,218294433,871,10480
"2020 - 2021",DIV,"Hanover County Public Schools",16441.26,568,8635,9204,113,2082,2194,11398,26261119,187396843,681,10717
"2020 - 2021",DIV,"Harrisonburg City Public Schools",6351.84,502,8620,9122,429,3801,4231,13353,7143023,84813324,931,12421
"2020 - 2021",DIV,"Henrico County Public Schools",49434.02,953,8274,9228,257,1423,1681,10908,218192571,539236936,1210,9697
"2020 - 2021",DIV,"Henry County Public Schools",7109.82,882,6346,7228,342,3295,3637,10866,34235513,77252196,1224,9641
"2020 - 2021",DIV,"Highland County Public Schools",175.93,333,15840,16173,0,5814,5814,21987,691065,3868252,333,21654
"2020 - 2021",DIV,"Hopewell City Public Schools",4155.2,841,7079,7920,628,3460,4088,12008,5806036,49897509,1469,10539
"2020 - 2021",DIV,"Isle of Wight County Public Schools",5373.94,202,6879,7081,449,3416,3865,10947,9097590,58826375,651,10295
"2020 - 2021",DIV,"King George County Public Schools",4241.7,312,7552,7864,370,3007,3376,11240,3155653,47676786,682,10559
"2020 - 2021",DIV,"King William County Public Schools",2001.27,459,8094,8553,106,3319,3425,11979,1788874,23972510,565,11413
"2020 - 2021",DIV,"King and Queen County Public Schools",849.49,731,7851,8582,251,4584,4835,13417,778904,11397935,982,12435
"2020 - 2021",DIV,"Lancaster County Public Schools",1009.25,1054,7977,9031,550,5501,6051,15082,1741282,15221438,1604,13478
"2020 - 2021",DIV,"Lee County Public Schools",3051.95,2288,5870,8159,634,3215,3849,12008,4430734,36646545,2922,9085
"2020 - 2021",DIV,"Lexington City Public Schools",456.51,469,8667,9136,909,3066,3975,13111,1768701,5985419,1378,11733
"2020 - 2021",DIV,"Loudoun County Public Schools",81152.03,437,14640,15077,89,1787,1876,16953,154169258,1375760868,526,16427
"2020 - 2021",DIV,"Louisa County Public Schools",4933.14,480,9334,9814,426,2942,3369,13183,10127156,65032109,906,12276
"2020 - 2021",DIV,"Lunenburg County Public Schools",1597.65,633,7407,8039,728,2790,3519,11558,1956506,18465769,1361,10197
"2020 - 2021",DIV,"Lynchburg City Public Schools",7863.75,614,8181,8795,390,3892,4282,13077,12022938,102838143,1004,12073
"2020 - 2021",DIV,"Madison County Public Schools",1658.27,895,8694,9590,16,2186,2202,11791,1935989,19553145,911,10880
"2020 - 2021",DIV,"Manassas City Public Schools",7485.05,836,10935,11771,184,2766,2949,14721,13230295,110184262,1020,13701
